Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1768599271.716	     0.155	0	0	1	0	Rscript ebflow_run.R --seed 1 --max_iter 200000 --lambda 0 > logs/job_3.out 2> logs/job_3.err
6	:	1768599271.721	     0.154	0	0	1	0	Rscript ebflow_run.R --seed 2 --max_iter 200000 --lambda 0 > logs/job_6.out 2> logs/job_6.err
15	:	1768599271.737	     0.157	0	0	1	0	Rscript ebflow_run.R --seed 5 --max_iter 200000 --lambda 0 > logs/job_15.out 2> logs/job_15.err
12	:	1768599271.731	     0.195	0	0	1	0	Rscript ebflow_run.R --seed 4 --max_iter 200000 --lambda 0 > logs/job_12.out 2> logs/job_12.err
18	:	1768599271.744	     0.196	0	0	1	0	Rscript ebflow_run.R --seed 6 --max_iter 200000 --lambda 0 > logs/job_18.out 2> logs/job_18.err
9	:	1768599271.726	     0.243	0	0	1	0	Rscript ebflow_run.R --seed 3 --max_iter 200000 --lambda 0 > logs/job_9.out 2> logs/job_9.err
4	:	1768599271.718	     0.952	0	0	1	0	Rscript oracle_section4.R --seed 2 > logs/job_4.out 2> logs/job_4.err
7	:	1768599271.723	     0.950	0	0	1	0	Rscript oracle_section4.R --seed 3 > logs/job_7.out 2> logs/job_7.err
1	:	1768599271.713	     0.961	0	0	1	0	Rscript oracle_section4.R --seed 1 > logs/job_1.out 2> logs/job_1.err
10	:	1768599271.728	     0.965	0	0	1	0	Rscript oracle_section4.R --seed 4 > logs/job_10.out 2> logs/job_10.err
13	:	1768599271.733	     0.963	0	0	1	0	Rscript oracle_section4.R --seed 5 > logs/job_13.out 2> logs/job_13.err
16	:	1768599271.739	     0.993	0	0	1	0	Rscript oracle_section4.R --seed 6 > logs/job_16.out 2> logs/job_16.err
14	:	1768599271.735	     1.620	0	0	1	0	Rscript gibbs_run.R --seed 5 --max_iter 200000 --lambda 0 > logs/job_14.out 2> logs/job_14.err
8	:	1768599271.724	     1.633	0	0	1	0	Rscript gibbs_run.R --seed 3 --max_iter 200000 --lambda 0 > logs/job_8.out 2> logs/job_8.err
5	:	1768599271.719	     1.661	0	0	1	0	Rscript gibbs_run.R --seed 2 --max_iter 200000 --lambda 0 > logs/job_5.out 2> logs/job_5.err
2	:	1768599271.714	     1.697	0	0	1	0	Rscript gibbs_run.R --seed 1 --max_iter 200000 --lambda 0 > logs/job_2.out 2> logs/job_2.err
17	:	1768599271.742	     1.687	0	0	1	0	Rscript gibbs_run.R --seed 6 --max_iter 200000 --lambda 0 > logs/job_17.out 2> logs/job_17.err
11	:	1768599271.730	     1.707	0	0	1	0	Rscript gibbs_run.R --seed 4 --max_iter 200000 --lambda 0 > logs/job_11.out 2> logs/job_11.err
